0,sp01,150
1000,sp01,149
2000,sp01,166
3000,sp01,179
4000,sp01,178
5000,sp01,185
6000,sp01,190
7000,sp01,195
8000,sp01,205
9000,sp01,198
10000,sp01,212
11000,sp01,215
12000,sp01,209
13000,sp01,216
14000,sp01,208
15000,sp01,196
16000,sp01,212
17000,sp01,206
18000,sp01,196
19000,sp01,196
20000,sp01,185
21000,sp01,183
22000,sp01,181
23000,sp01,198
24000,sp01,196
25000,sp01,198
26000,sp01,194
27000,sp01,201
28000,sp01,213
29000,sp01,201
30000,sp01,202
31000,sp01,214
32000,sp01,208
32000,sp02,1
33000,sp01,202
34000,sp01,186
35000,sp01,195
36000,sp01,189
37000,sp01,190
38000,sp01,203
39000,sp01,199
40000,sp01,204
41000,sp01,206
42000,sp01,203
43000,sp01,195
44000,sp01,204
45000,sp01,208
46000,sp01,198
47000,sp01,199
48000,sp01,210
49000,sp01,198
49000,sp03,1
50000,sp01,190
50000,sp04,1
51000,sp01,184
52000,sp01,208
53000,sp01,197
54000,sp01,199
54000,sp05,1
55000,sp01,200
55000,sp05,1
56000,sp01,194
57000,sp01,186
58000,sp01,192
59000,sp01,199
60000,sp01,207
61000,sp01,198
62000,sp01,204
63000,sp01,206
64000,sp01,206
65000,sp01,194
66000,sp01,198
67000,sp01,204
68000,sp01,209
69000,sp01,203
70000,sp01,195
71000,sp01,188
72000,sp01,196
73000,sp01,202
74000,sp01,212
75000,sp01,222
76000,sp01,222
77000,sp01,209
78000,sp01,197
79000,sp01,204
80000,sp01,194
81000,sp01,211
82000,sp01,212
83000,sp01,197
84000,sp01,199
85000,sp01,193
86000,sp01,189
87000,sp01,207
88000,sp01,191
89000,sp01,187
90000,sp01,194
91000,sp01,197
92000,sp01,187
93000,sp01,205
94000,sp01,213
95000,sp01,210
96000,sp01,212
97000,sp01,206
98000,sp01,219
99000,sp01,216
100000,sp01,206
101000,sp01,206
102000,sp01,200
103000,sp01,200
104000,sp01,197
105000,sp01,197
106000,sp01,202
107000,sp01,215
108000,sp01,211
108000,sp06,1
109000,sp01,217
109000,sp06,1
110000,sp01,209
110000,sp06,2
111000,sp01,205
111000,sp06,3
112000,sp01,211
112000,sp06,3
113000,sp01,219
113000,sp06,2
114000,sp01,219
114000,sp06,2
115000,sp01,209
115000,sp06,1
116000,sp01,198
116000,sp06,1
117000,sp01,197
117000,sp06,1
118000,sp01,199
118000,sp06,2
119000,sp01,220
119000,sp06,2
120000,sp01,223
120000,sp06,3
121000,sp01,207
121000,sp06,4
122000,sp01,210
122000,sp06,5
123000,sp01,203
123000,sp06,5
124000,sp01,190
124000,sp06,6
125000,sp01,186
125000,sp06,7
126000,sp01,192
126000,sp06,4
127000,sp01,181
127000,sp06,6
128000,sp01,169
128000,sp06,6
129000,sp01,178
129000,sp06,6
130000,sp01,175
130000,sp06,7
131000,sp01,179
131000,sp06,9
132000,sp01,195
132000,sp06,6
133000,sp01,199
133000,sp06,6
134000,sp01,208
134000,sp06,6
135000,sp01,197
135000,sp06,5
136000,sp01,198
136000,sp06,4
137000,sp01,196
137000,sp06,1
138000,sp01,195
138000,sp06,1
